id,username,email,hashed_password,role,distributor_id
USR-ADM-001,admin_rahul,rahul.sharma@marutisuzuki.com,$2b$12$hFoIizJsq9O3l7Q4dEYBOe4YtUTihx99VBV.n8/GUcRbda6SPNBGy,org_admin,
USR-ADM-002,admin_priya,priya.verma@marutisuzuki.com,$2b$12$4U6ZwjOHdq6l/qNqXFoASul7xKvCACmiF9YQZYcLe75SFz7EQ.Yfm,org_admin,
USR-ADM-003,admin_suresh,suresh.nair@marutisuzuki.com,$2b$12$.Dy9Mpn0r4LnnY3aJKp78.HDNXGPmhLf30wPdp1t0RcI44AuoJIxG,org_admin,
USR-DST-001,dist_mumbai_1,dist.mumbai1@partner.com,$2b$12$7TVcLcC.qJ9poMa/J3g8HutF0q2d9Ay2EtJFOeUrh7NQXYlCekH2G,distributor_user,DLR-0001
USR-DST-002,dist_delhi_1,dist.delhi1@partner.com,$2b$12$NGNTWkp4ofYeCKX3vIfxkupFEv4QzGdPFuPKFO72P6AhNAnCsWOKS,distributor_user,DLR-0002
USR-DST-003,dist_bengaluru,dist.bengaluru@partner.com,$2b$12$6frnMiklmNQUfqnIe1h6f.5FSWSIqTek1DRI6KMCMd5bvmx8Lz.D2,distributor_user,DLR-0003
USR-DST-004,dist_chennai,dist.chennai@partner.com,$2b$12$cQumKow2WO0qwEF7fCGUqeClCsRsUbhQ/YS4In9Cw9BzmpNjkUZTu,distributor_user,DLR-0004
USR-DST-005,dist_hyderabad,dist.hyderabad@partner.com,$2b$12$IsBtJOyemNu3cBpt/pHJZ.gi0xBMRl/VSFuXXxv5rdQYWkCjdhipO,distributor_user,DLR-0005
USR-DST-006,dist_kolkata,dist.kolkata@partner.com,$2b$12$ydmRItCFETU/3QGWHG3CYOQvmNTYU1i6i5SvukpgZHFUNPgbIM3MC,distributor_user,DLR-0006
USR-DST-007,dist_pune,dist.pune@partner.com,$2b$12$.reRJuClcj2Rdltlcya85.Sj62mS4Jyd/8QpwqxEBW3/8TDmhqYla,distributor_user,DLR-0007
USR-DST-008,dist_ahmedabad,dist.ahmedabad@partner.com,$2b$12$ykp5tSC1hm2p89VFY9ffV.WKWfX.d1RJX0bMT5J/8DLYuFFVHEoOi,distributor_user,DLR-0008
USR-DST-009,dist_jaipur,dist.jaipur@partner.com,$2b$12$Q/6a5OqIgsRByDkBgr3Hi.172VV1M1flBVUvJjVIXLNCWoIYphi6u,distributor_user,DLR-0009
USR-DST-010,dist_lucknow,dist.lucknow@partner.com,$2b$12$/5UvzhUSvTx9vKxwI0SWw.5oVelrPbO8gB5v860u3n9zin2D9w6Ty,distributor_user,DLR-0010
USR-DST-011,dist_nagpur,dist.nagpur@partner.com,$2b$12$y82ENFkbd88BTsM9Taqw4O1SAPrqrdCgbZ7vScSJApoSzTtAihVtS,distributor_user,DLR-0011
USR-DST-012,dist_indore,dist.indore@partner.com,$2b$12$dKU9BaQq3E7k9YkNAZCMDewH2FACz2WKHlI0i5nOGjscF5nlOMxpq,distributor_user,DLR-0012
USR-DST-013,dist_patna,dist.patna@partner.com,$2b$12$6bl/w3GuBNheAN1aZuwEGu1QLQA27wkg02WKQKa9.GLwQFDHgTofm,distributor_user,DLR-0013
USR-DST-014,dist_kochi,dist.kochi@partner.com,$2b$12$1f1uY6XrUM7ZY1LM.7RCAecJPg7tEAAz2hgnRkjrK5GgB6jNRYOYW,distributor_user,DLR-0014
USR-DST-015,dist_guwahati,dist.guwahati@partner.com,$2b$12$g7w1m5HluZ8JUN3jP2NBYOcf/2gqrTYxo3jRCmbGJdnQuFYfhDHLK,distributor_user,DLR-0015
